"ID","names","context","SN","age","distance","type","CHANDRA","XMM","SUZAKU","ROSAT","ASCA","FERMI","AGILE","HESS","VERITAS","MAGIC","MILAGRO"
"G004.5+06.8","Kepler, SN1604, 3C358, Kes 57","","1604","SN: 411 yr","3 - 6.4 kpc","shell","extended","extended","extended","extended","detected","missed","unknown","missed","unknown","unknown","unknown"
"G004.8+06.2","[G4.5+6.2]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G005.2-02.6","","","","","","shell","unknown","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G005.4-01.2 ?","Milne 56, [G5.3-1.0], [G5.27-0.9], 2FGL J1802.3-2445c","offset PSR J1801-2451 = B1757-24 = the Duck + PWN G5.27-0.9, interacts with molecular cloud","","PSR: 15488 yr","4.3 - 4.5 kpc, PSR: 5 kpc","composite?","extended","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G005.5+00.3","[G5.55+0.32]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G005.7-00.1 ?","[G5.71-0.08], HESS J1800-240C","close to SNR G006.4-00.1 = W28, interacts with molecular cloud","","","","shell?","unknown","unknown","unknown","unknown","unknown","unknown","unknown","extended","unknown","unknown","unknown"
"G005.9+03.1","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G006.1+00.5","[G6.10+0.53]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G006.1+01.2","[G6.1+1.15]","","","","","filled-centre?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G006.4+04.0","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G006.4-00.1","W28, [G6.6-0.2], 0FGL J1801.6-2327, 1FGL J1801.3-2322c and J1800.5-2359c, 2FGL J1801.3-2326e, 1FHL J1801.3-2326e, 3FGL J1801.3-2326e, 1AGL J1801-2317, HESS J1801-233 and HESS J1800-240[A/B/C]","close to (unrelated) PSR B1758-23 = J1801-2304, close to SNRs G5.7-0.1, G6.5-0.4, G7.0-0.1, interacts with molecular cloud","","33000 - 36000 yr","1.6 - 2.2 kpc","composite","extended","extended","extended","extended","extended","extended","extended","extended","unknown","unknown","unknown"
"G006.5-00.4","[G6.51-0.48], [G6.67-0.42], HESS J1801-233","close to SNR G006.4-00.1 = W28","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","extended","unknown","unknown","unknown"
"G007.0-00.1","[G7.06-0.12]","close to SNR G006.4-00.1 = W28","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G007.2+00.2","[G7.20+0.20]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G007.5-01.7 ?","1FGL J1809.8-2332, 2FGL J1809.8-2332, 1FHL J1809.8-2329, 3FGL J1809.8-2332","contains PWN G7.4-2.0 = Taz, close to PSR J1809-2332","","≥ 15000 yr","1.7 - 2 kpc, PSR: 2 kpc","composite","extended","extended","unknown","extended","extended","detected","unknown","unknown","unknown","unknown","unknown"
"G007.7-03.7","1814-24","","","","3.2 - 6 kpc","shell","unknown","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G008.3-00.0","[G8.31-0.09]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G008.7-00.1","(W30), [G8.6-0.1], Suzaku J1804-2142 and J1804-2140, 0FGL J1805.3-2138, 1FGL J1805.2-2137c and J1806.8-2109c, 2FGL J1805.6-2136e, 1FHL J1805.6-2136e, 3FGL J1805.6-2136e, 1AGL J1805-2143, HESS J1804-216","inside W30 complex, PSR J1803-2137 = B1800-21 and PWN G8.40+0.15 at the edge, interacts with molecular cloud","","15000 - 28000 yr, PSR: 15800 yr","3.2 - 6 kpc, PSR: 4 kpc","composite","extended","unknown","detected","extended","unknown","extended","detected","extended","unknown","unknown","unknown"
"G008.7-05.0","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G008.9+00.4","[G8.90+0.40]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G009.7-00.0","[G9.7-0.1], [G9.70-0.06]","interacts with molecular cloud","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G009.8+00.6","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G009.9-00.8","[G9.95-0.81]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G010.5-00.0","[G10.59-0.04]","","","","","shell","unknown","unknown","unknown","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G010.9-45.4","1FGL J2124.7-3358, 2FGL J2124.6-3357, 3FGL J2124.7-3358","PWN G10.92-45.43 and PSR J2124-3358","","PSR: 3801894000 yr","PSR: 0.25 kpc","filled-centre","extended","extended","unknown","unknown","detected","detected","unknown","unknown","unknown","unknown","unknown"
"G011.0-00.0","[G11.0+0.0], [G11.03-0.05]","contains PWN G11.03-0.05??","","","","shell?","unknown","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G011.1+00.1","[G11.18+0.11], 3FGL J1810.1-1910, HESS J1809-193","PWN G11.09+0.08, close to SNR G11.2-0.3 with PSR J1811-1925 = the Turtle + PWN G011.18-0.35 and PSR J1809-1917, close to PSR J1809-1943","","PSR: 51300 yr","PSR: 3.5 kpc","composite?","extended","unknown","extended","unknown","unknown","detected","unknown","detected","unknown","unknown","unknown"
"G011.1-00.7","[G11.15-0.71]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G011.1-01.0","[G11.2-1.1], [G11.17-1.04]","","","","","shell","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G011.2-00.3","3FGL J1811.3-1927c, HESS J1809-193","contains PSR J1811-1925 = the Turtle + PWN G011.18-0.35, close to SNR G11.1-1.0 with PSR J1809-1917 + PWN G11.09+0.08, close to PSR J1809-1943, [interacts with molecular cloud]","386 ?","960 - 3400 yr, PSR: 23500 yr, SN: 1629 yr ?","5 - 10 kpc, PSR: 5 kpc","composite","extended","extended","unknown","extended","extended","detected","unknown","detected","unknown","unknown","unknown"
"G011.4-00.1","2FGL J1811.1-1905c","","","","","shell?","missed","unknown","missed","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G011.8-00.2","[G11.89-0.21]","","","","","shell","unknown","unknown","unknown","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G012.0-00.1","","","","","","shell?","unknown","unknown","detected","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G012.2+00.3","[G12.26+0.30]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G012.5+00.2","[G12.58+0.22]","","","","","composite?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G012.7-00.0","[G12.72-0.00]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G012.8-00.0","W33, [G12.82-0.02], [G12.83-0.02], AX J1813-178, 0FGL J1814.3-1739, HESS J1813-178","close to W33 complex, contains PSR J1813-1749 + PWN G12.82-0.02, [interacts with molecular cloud]","","1200 yr, PSR: 5000 yr","≥ 4 kpc, PSR: 4.7 kpc","composite","extended","extended","unknown","unknown","detected","missed","unknown","detected","unknown","detected","unknown"
"G013.3-01.3","[G13.46+0.16], 3FGL J1817.2-1739","[interacts with molecular cloud]","","","2 - 4 kpc","shell?","unknown","unknown","unknown","extended","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G013.5+00.2","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G014.1-00.1","[G14.18-0.12]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G014.3+00.1","[G14.30+0.14]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G015.1-01.6","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G015.4+00.1","[G15.42+0.18], 3FGL J1818.7-1528, HESS J1818-154","contains PWN?, interacts with molecular cloud??","","2500 - 8200 yr, PSR: 17000 yr","3.8 - 5.8 kpc","composite?","unknown","extended","unknown","unknown","unknown","detected","unknown","extended","unknown","unknown","unknown"
"G015.9+00.2","","contains PSR? or CCO?","","1000 - 3000 yr","8.5 kpc","shell?","extended","unknown","unknown","unknown","unknown","missed","unknown","missed","unknown","unknown","unknown"
"G016.0-00.5","[G16.05-0.57]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G016.2-02.7","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G016.4-00.5","[G16.41-0.55]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G016.7+00.1","[G16.73+0.08]","contains PWN G16.73+0.08, interacts with molecular cloud","","PSR: 2000 yr","10 kpc","composite","extended","extended","unknown","unknown","detected","missed","unknown","missed","unknown","unknown","unknown"
"G017.0-00.0","[G17.02-0.04]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G017.4-00.1","[G17.48-0.12]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G017.4-02.3","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G017.8-02.6","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G018.0-00.7","Turkey, 1FGL J1821.1-1425c and J1825.7-1410c, 2FGL J1826.1-1256 and J1824.5-1351e, 1FHL J1824.5-1351e, 3FGL J1824.5-1351e, HESS J1825-137","PWN G18.00-0.69 = Turkey and PSR J1826-1334 = B1823-13","","PSR: 21400 yr","PSR: 4 kpc","filled-centre?","extended","extended","extended","extended","unknown","extended","unknown","extended","unknown","unknown","unknown"
"G018.1-00.1","[G18.1-0.2], [G18.16-0.16]","","","","4 - 6.3 kpc","shell","unknown","unknown","unknown","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G018.5-00.4","Eel","PWN = the Eel and PSR J1826+1256","","","PSR: 7 kpc","filled-centre","extended","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G018.6-00.2","[G18.62-0.28]","","","","4 - 5.2 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G018.8+00.3","Kes 67, [G18.9+0.3]","in complex region near HII region W39, interacts with molecular cloud","","100000 yr","6.9 - 15 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G018.9-01.1","[G18.95-1.1], [G18.94-1.04], 3FGL J1829.7-1304","contains PWN?, interacts with molecular cloud??","","","2 kpc","composite?","extended","unknown","unknown","extended","extended","detected","unknown","unknown","unknown","unknown","unknown"
"G019.1+00.2","[G19.15+0.27]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G020.0-00.2","1FGL J1827.9-1128c, 2FGL J1828.3-1124c, 3FGL J1828.4-1121","contains PWN?","","","4.5 kpc","filled-centre","extended","unknown","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G020.4+00.1","[G20.47+0.16]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G021.0-00.4","[G21.04-0.47]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G021.5-00.1","[G21.56-0.10]","","","","","shell","unknown","unknown","unknown","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G021.5-00.9","1FGL J1833.5-1034, 2FGL J1833.6-1032, 3FGL J1833.5-1033, HESS J1833-105","contains PSR J1833-1034 + PWN G021.50-0.89","","720 - 1070 yr, PSR: 4900 yr","4.3 - 5.1 kpc, PSR: 4.7 kpc","composite","extended","extended","detected","extended","extended","detected","unknown","detected","unknown","unknown","unknown"
"G021.6-00.8","[G21.64-0.84]","","","","","shell","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G021.8-00.6","Kes 69","interacts with molecular cloud","","4400 - 5000 yr","5.2 - 5.5 kpc","composite","unknown","detected","unknown","extended","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G022.7-00.2","HESS J1832-093","overlaps SNR G23.3-0.3, contains point source XMMU J183245-0921539, interacts with molecular cloud?","","","4 - 4.8 kpc","shell?","unknown","detected","unknown","unknown","unknown","missed","unknown","extended","unknown","unknown","unknown"
"G023.3-00.3","W41, 0FGL J1834.4-0841, 1FGL J1834.3-0842c, 2FGL J1834.3-0848, 3FGL J1834.5-0841, HESS J1834-087","overlaps SNR G22.7-0.2, close to PSR J1833-0827, contains PSR J1834-0844 and magnetar J1834.9-0846, and PWN?, interacts with molecular cloud?","","60000 - 200000 yr","3.9 - 4.5 kpc","shell?","detected","extended","unknown","unknown","unknown","extended","unknown","extended","unknown","detected","unknown"
"G023.6+00.3","","in complex region","","","","?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G024.7+00.6","1FGL J1834.7-0709c, 2FGL J1834.7-0705c, 1FHL J1834.6-0703, 3FGL J1833.9-0711 and J1834.6-0659","contains PWN?","","9500 yr","","composite?","unknown","unknown","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G024.7-00.6","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G025.1-02.3","","","","","","shell","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G025.5+00.0","G25.25+0.28, AX J1838-069 and AX J1837.3-0652, AX J1838.0-065 and AX J1838.3-062 and AX J1837.3-0652, 1FGL J1837.5-0659c, 2FGL J1837.3-0700c and J1835.5-0649, 1FHL J1836.5-0655e, 3FGL J1836.5-0655e, HESS J1837-069","PSR J1838-0655 + PWN, adjacent to massive star cluster","","PSR: 23000 yr","PSR: 6.6 kpc","composite?","detected","extended","detected","unknown","extended","extended","unknown","extended","unknown","unknown","unknown"
"G027.4+00.0","(Kes 73), 4C-04.71, [G27.3-0.1], 2FGL J1841.2-0459c","contains AXP 1E 1841-045 (magnetar)","","750 - 2100 yr, PSR: 4300 yr","7.5 - 9.1 kpc","shell","extended","detected","detected","extended","extended","missed","unknown","missed","unknown","unknown","unknown"
"G027.8+00.6","2FGL J1840.3-0413c, 3FGL J1840.1-0412","contains PWN?","","","","filled-centre","unknown","extended","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G028.6-00.1","AX J1843.8-0352","","","≤ 2700 yr","6 - 8.5 kpc","shell","extended","unknown","unknown","unknown","extended","missed","unknown","missed","unknown","unknown","unknown"
"G028.8+01.5","2FGL J1839.7-0334c","","","","","composite?","unknown","detected","unknown","detected","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G029.4+00.1 ?","AX J1844.7-0305, HESS J1843-033","PWN G29.37+0.1, close to radio galaxy PMN J18440306","","","5.2 - 15.8 kpc","composite?","extended","unknown","unknown","unknown","extended","unknown","unknown","extended","unknown","unknown","unknown"
"G029.6+00.1","","contains AXP candidate AX J1845-0258 (magnetar?)","","","","shell","unknown","unknown","unknown","unknown","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G029.7-00.3","Kes 75, HESS J1846-029","contains high-B PSR J1846-0258 (magnetar?) + PWN, interacts with molecular cloud","","900 - 7000 yr, PSR: 700 yr","6.3 - 10.6 kpc, PSR: 7.8 kpc","composite","extended","unknown","unknown","unknown","extended","missed","unknown","detected","unknown","unknown","unknown"
"G030.7+01.0","","","","","","shell?","unknown","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G030.7-02.0","","contains compact source near centre","","","","?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G031.5-00.6","[G31.55-0.65]","","","","","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G031.9+00.0","3C391, Kes 77, 1FGL J1849.0-0055, 2FGL J1849.3-0055, 3FGL J1849.4-0057","interacts with molecular cloud","","3700 - 4400 yr","7.2 - 8.6 kpc","composite","extended","extended","extended","extended","extended","detected","unknown","missed","unknown","unknown","unknown"
"G032.0-04.9","3C396.1","","","","1.8 kpc","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G032.1-00.9 ?","","","","","","composite","unknown","unknown","unknown","extended","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G032.4+00.1","[G32.45+0.1], 2FGL J1850.7-0014c","","","","17 kpc","shell","unknown","extended","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G032.8-00.1","Kes 78, [G33.1-0.1], HESS J1852-000","PSR J1853-0004 nearby, interacts with molecular cloud","","6000 yr","4.8 kpc","shell","unknown","extended","unknown","extended","unknown","missed","unknown","extended","unknown","unknown","unknown"
"G033.2-00.6","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G033.6+00.1","Kes 79, 4C00.70, HC13, [G33.7+0.0], 2FGL J1852.7+0047c","contains CCO PSR J1852+0040, close to transient magnetar 3XMM J185246.6+003317, interacts with molecular cloud?","","3000 - 15000 yr, PSR: 192000000 yr","7.1 kpc","composite?","extended","detected","unknown","extended","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G034.0+20.3","","PWN G34.01+20.27 and PSR J1740+1000","","PSR: 114800 yr","PSR: 1.4 kpc","filled-centre","extended","extended","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G034.7-00.4","W44, 3C392, [G34.6-0.5], 0FGL J1855.9+0126, 1FGL J1856.1+0122, 2FGL J1855.9+0121e, 1FHL J1855.9+0121e, 3FGL J1855.9+0121e, 1AGL J1857+0137","inside W48 complex, contains PSR B1853+01 = J1856+0113 + PWN G34.56-0.50, interacts with molecular cloud","","6000 - 29000 yr, PSR: 20400 yr","2.5 - 2.8 kpc, PSR: 3 kpc","composite","extended","extended","extended","extended","extended","extended","extended","unknown","missed","unknown","unknown"
"G035.6-00.4","HESS J1858+020","contains (probably unrelated) PSRs J1857+0210 and J1857+0212, overlaps with planetary nebulae PN G35.5-0.4 and IRAS 18551+0159 and with HII region G35.6-0.5","","2300 yr","3.2 - 4 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","extended","unknown","unknown","unknown"
"G036.6+02.6","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G036.6-00.7","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G038.7-01.3","","","","14000 - 15000 yr","4 kpc","composite","extended","extended","unknown","extended","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G039.2-00.3","3C396, HC24, NRAO 593","contains PWN G39.22-0.32, interacts with molecular cloud","","3000 - 7000 yr","6.2 kpc","composite","extended","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G039.7-02.0 ?","W50, SS433, [G40.0-3.1]","adjacent to HII region S74, contains micro-quasar SS433, interacts with molecular cloud??","","30000 yr","5.5 - 6.5 kpc","?","extended","extended","unknown","extended","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G040.5-00.5","0FGL J1907.5+0602, 1FGL J1907.9+0602, 2FGL J1907.9+0602, 1FHL J1907.7+0600, 3FGL J1907.9+0602, HESS J1908+063, MGRO J1908+06","close to PSR J1907+0602 + PWN G40.16-0.89?, interacts with molecular cloud?","","PSR: 20000 yr","≥ 1 kpc, PSR: 3.2 kpc","shell?","detected","missed","unknown","unknown","missed","detected","unknown","extended","extended","unknown","extended"
"G041.1-00.3","3C397","interacts with molecular cloud","","5300 yr","10.3 kpc","composite","extended","extended","extended","extended","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G041.5+00.4","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G042.0-00.1","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G042.8+00.6","[G42.8+0.65]","PSR J1907+0918 and SGR 1900+14 (magnetar) just outside the shell (both suggested to be possibly related), interacts with molecular cloud?","","PSR: 38000 yr","PSR: 7.7 kpc","shell","detected","detected","detected","detected","detected","missed","unknown","unknown","unknown","unknown","unknown"
"G043.3-00.2","W49B, (3C398), 0FGL J1911.0+0905, 1FGL J1910.9+0906c, 2FGL J1911.0+0905, 1FHL J1911.0+0905, 3FGL J1910.9+0906, HESS J1911+090","near HII region W49A, interacts with molecular cloud","","4000 - 6000 yr","8 - 11 kpc","composite","extended","extended","extended","extended","extended","detected","unknown","detected","unknown","unknown","unknown"
"G043.9+01.6","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G045.7-00.4","1FGL J1916.0+1110c, 2FGL J1916.1+1106, 3FGL J1915.9+1112","","","","","shell","unknown","unknown","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G046.8-00.3","(HC30), [G46.6-0.2]","part of HC30","","","4.3 - 8.6 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G047.4-03.9","","PWN G47.38-3.88 and PSR J1932+1059 = B1929+10","","PSR: 3090300 yr","PSR: 0.36 kpc","filled-centre","extended","extended","unknown","extended","detected","unknown","unknown","unknown","unknown","unknown","unknown"
"G049.2-00.7","W51C, CXOU J192318.5+1403035, 0FGL J1923.0+1411, 1FGL J1922.9+1411, 2FGL J1923.2+1408e, 1FHL J1923.2+1408e, 3FGL J1923.2+1408e, 1AGL J1923+1404, HESS J1923+141","part of W51 complex, overlaps SFR W51B, contains CXO J192318.5+1403035 + PWN?, interacts with molecular cloud?","","26000 - 30000 yr","4.3 - 6 kpc","composite?","extended","extended","extended","extended","extended","extended","detected","extended","unknown","extended","detected"
"G053.6-02.2","3C400.2, NRAO 611, [G53.7-2.2]","","","15000 - 110000 yr","2.3 - 6.7 kpc","composite","extended","unknown","unknown","extended","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G054.1+00.3","VER J1930+188","contains PSR J1930+1852 + PWN G054.10+0.27, interacts with molecular cloud?","","2500 - 3300 yr, PSR: 2900 yr","5.6 - 7.2 kpc, PSR: 6.2 kpc","composite?","extended","extended","extended","extended","extended","missed","unknown","unknown","detected","unknown","unknown"
"G054.4-00.3","(HC40), [G54.5-0.3], 2FGL J1932.1+1913","part of HC40, interacts with molecular cloud","","61000 yr","3.3 - 9 kpc","shell","unknown","unknown","unknown","unknown","extended","missed","unknown","unknown","unknown","unknown","unknown"
"G055.0+00.3","[G55.2+0.5]","PSR J1932+2020 nearby","","","14 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G055.7+03.4","","contains (unrelated?) PSR B1919+21 = J1921+2153","","","PSR: 0.56 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G057.2+00.8","(4C21.53)","PSR B1937+214 = J1939+213 nearby","","PSR: 230000000 yr","PSR: 3.5 kpc","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G059.2-04.7","Black Widow, 1FGL J1959.6+2047, 2FGL J1959.5+2047, 3FGL J1959.5+2047","PWN G59.20-4.70 and PSR J1959+2048 = B1957+20 = Black Widow","","PSR: 1513561200 yr","PSR: 2.5 kpc","filled-centre","extended","unknown","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G059.5+00.1","[G59.6+0.1]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G059.8+01.2","[G59.7+1.2]","","","","","?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G063.7+01.1","","contains PWN, interacts with molecular cloud??","","","","filled-centre","extended","extended","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G064.5+00.9","","","","","11 kpc","shell","unknown","missed","unknown","missed","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"G065.1+00.6","0FGL J1954.4+2838","PSR J1957+2831 nearby","","40000 - 140000 yr, PSR: 1600000 yr","9 - 9.6 kpc, PSR: 7 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","missed","detected"
